Blade Pitch to Back Radius Ratio,Profile Loss Increment xp_se,outlet isentropic mach
0.123109057,0.037037037,1.3
0.135127547,0.037037037,1.3
0.149922958,0,1.3
0.164714946,0,1.3
0.185978428,0,1.3
0.234932375,0.481481481,1.3
0.305122411,1.259259259,1.3
0.371597329,2.222222222,1.3
0.411278891,3,1.3
0.457407978,4.037037037,1.3
0.505375792,5.185185185,1.3
0.573620955,7,1.3
0.618811847,8.185185185,1.3
0.666755693,9.592592593,1.3
0.722078411,11.18518519,1.3
0.753418935,12.18518519,1.3
0.000157507,-0.037037037,1.2
0.066721452,-0.037037037,1.2
0.099078925,-0.037037037,1.2
0.108320493,0,1.2
0.123109057,0.037037037,1.2
0.135127547,0.037037037,1.2
0.149922958,0,1.2
0.164714946,0,1.2
0.185978428,0,1.2
0.213706557,0.074074074,1.2
0.282068139,0.62962963,1.2
0.33749358,1.111111111,1.2
0.402140045,1.851851852,1.2
0.466769389,2.777777778,1.2
0.523985619,3.888888889,1.2
0.576575929,5.037037037,1.2
0.642068139,6.62962963,1.2
0.690018832,7.962962963,1.2
0.754565999,9.777777778,1.2
0.000157507,-0.037037037,1.1
0.066721452,-0.037037037,1.1
0.099078925,-0.037037037,1.1
0.108320493,0,1.1
0.123109057,0.037037037,1.1
0.135127547,0.037037037,1.1
0.149922958,0,1.1
0.164714946,0,1.1
0.185978428,0,1.1
0.213706557,0.074074074,1.1
0.282085259,0.444444444,1.1
0.319051532,0.592592593,1.1
0.39296011,1.148148148,1.1
0.456685499,1.851851852,1.1
0.513939394,2.555555556,1.1
0.575795241,3.481481481,1.1
0.627491868,4.296296296,1.1
0.6782503,5.259259259,1.1
0.717003938,6.074074074,1.1
0.000157507,-0.037037037,1
0.066721452,-0.037037037,1
0.099078925,-0.037037037,1
0.108320493,0,1
0.123109057,0.037037037,1
0.135127547,0.037037037,1
0.149922958,0,1
0.164714946,0,1
0.185978428,0,1
0.213706557,0.074074074,1
0.24143811,0.111111111,1
0.711655538,3.925925926,1
0.655343263,3.037037037,1
0.587002226,2.259259259,1
0.518647492,1.62962963,1
0.445653142,1.185185185,1
0.380979284,0.740740741,1
0.295966444,0.296296296,1
0.266396165,0.148148148,1
0.000157507,-0.037037037,0.9
0.066721452,-0.037037037,0.9
0.099078925,-0.037037037,0.9
0.108320493,0,0.9
0.123109057,0.037037037,0.9
0.135127547,0.037037037,0.9
0.149922958,0,0.9
0.164714946,0,0.9
0.185978428,0,0.9
0.213706557,0.074074074,0.9
0.24143811,0.111111111,0.9
0.266396165,0.148148148,0.9
0.741397021,2.222222222,0.9
0.69799007,1.740740741,0.9
0.616682075,1.222222222,0.9
0.548299949,0.888888889,0.9
0.479910974,0.62962963,0.9
0.404126006,0.37037037,0.9
0.350518747,0.222222222,0.9
0.294131142,0.148148148,0.9
0.000157507,-0.037037037,0.8
0.066721452,-0.037037037,0.8
0.099078925,-0.037037037,0.8
0.108320493,0,0.8
0.123109057,0.037037037,0.8
0.135127547,0.037037037,0.8
0.149922958,0,0.8
0.164714946,0,0.8
0.185978428,0,0.8
0.213706557,0.074074074,0.8
0.24143811,0.111111111,0.8
0.266396165,0.148148148,0.8
0.306163328,0,0.8
0.403232323,0.037037037,0.8
0.503992467,0.148148148,0.8
0.551138504,0.185185185,0.8
0.6176956,0.259259259,0.8
0.667601438,0.444444444,0.8
0.749857901,0.703703704,0.8

